epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8425.07,0.85458,1.62071,0.87809,0.93024,0.55169,0.601,0.58043,0.50381,0.5497,0.59402,0.57526,0.50929,1.49921,1.89442,1.29729,1.02937,0.0095842,0.0095842,0.0095842
44,8620.93,0.86469,1.63805,0.87197,0.92729,0.56055,0.61161,0.58658,0.5074,0.54582,0.6089,0.57814,0.51069,1.47081,1.89716,1.2859,1.02421,0.0095743,0.0095743,0.0095743
45,8814.85,0.87975,1.68287,0.89187,0.93232,0.56881,0.60787,0.58004,0.50023,0.55971,0.59916,0.57648,0.50246,1.4807,1.88482,1.31586,1.0233,0.0095644,0.0095644,0.0095644
46,9010.33,0.85582,1.62948,0.86178,0.92607,0.53775,0.60228,0.57264,0.49749,0.49545,0.59909,0.56227,0.49953,1.48225,1.8994,1.3996,1.04953,0.0095545,0.0095545,0.0095545
47,9204.14,0.87892,1.61537,0.87012,0.92835,0.55909,0.60391,0.57968,0.50362,0.54245,0.59495,0.57463,0.5059,1.45111,1.88273,1.36112,1.01961,0.0095446,0.0095446,0.0095446
48,9397.8,0.86067,1.63076,0.86135,0.92536,0.58406,0.60418,0.59145,0.50727,0.56321,0.59298,0.57624,0.50963,1.46365,1.87537,1.31617,1.02637,0.0095347,0.0095347,0.0095347
49,9594.1,0.87707,1.64091,0.88011,0.9319,0.58793,0.59735,0.58054,0.50337,0.58474,0.58947,0.57586,0.50818,1.47855,1.8807,1.29181,1.03078,0.0095248,0.0095248,0.0095248
50,9788.3,0.86053,1.64347,0.86709,0.92493,0.61132,0.59718,0.58375,0.50388,0.59322,0.60776,0.58033,0.51368,1.44492,1.87335,1.25507,1.01615,0.0095149,0.0095149,0.0095149
51,9982.93,0.8656,1.64034,0.87885,0.92756,0.58159,0.61897,0.59721,0.50989,0.54277,0.6178,0.58048,0.50987,1.45375,1.87818,1.24689,1.02663,0.009505,0.009505,0.009505
52,10178.4,0.85216,1.62207,0.85806,0.9235,0.5651,0.60728,0.58276,0.50184,0.54541,0.59334,0.56673,0.50304,1.44955,1.87152,1.27304,1.02138,0.0094951,0.0094951,0.0094951
53,10372.8,0.8604,1.63081,0.87379,0.92621,0.53732,0.60743,0.57694,0.49899,0.51794,0.60173,0.56893,0.50332,1.46335,1.87427,1.30419,1.02411,0.0094852,0.0094852,0.0094852
54,10567.5,0.8585,1.64178,0.85733,0.93048,0.63311,0.6052,0.5928,0.51185,0.58501,0.61241,0.587,0.5132,1.45639,1.84655,1.21582,1.01652,0.0094753,0.0094753,0.0094753
55,10761.5,0.85525,1.62033,0.8357,0.93195,0.58335,0.59976,0.57706,0.50572,0.5619,0.59261,0.57144,0.50605,1.45187,1.83814,1.24382,1.01713,0.0094654,0.0094654,0.0094654
56,10956.4,0.84761,1.63235,0.84136,0.92886,0.56624,0.61411,0.58412,0.50857,0.55202,0.60567,0.57502,0.50617,1.46145,1.89784,1.29252,1.02666,0.0094555,0.0094555,0.0094555
57,11149.8,0.84227,1.5955,0.84128,0.92233,0.50728,0.60394,0.58691,0.50737,0.51339,0.58809,0.57774,0.50821,1.45482,1.8314,1.31816,1.01981,0.0094456,0.0094456,0.0094456
58,11343.6,0.85046,1.6128,0.85071,0.92013,0.58797,0.60633,0.58783,0.51267,0.57769,0.58972,0.58448,0.51292,1.43445,1.86023,1.23846,1.014,0.0094357,0.0094357,0.0094357
59,11536.9,0.84761,1.6096,0.8465,0.92767,0.56879,0.60925,0.58657,0.50826,0.55244,0.61247,0.57795,0.51153,1.44033,1.86763,1.26133,1.00928,0.0094258,0.0094258,0.0094258
60,11730.9,0.86804,1.63211,0.87394,0.92767,0.63016,0.59471,0.5955,0.51283,0.57395,0.59632,0.57792,0.51048,1.43317,1.8752,1.27496,1.01417,0.0094159,0.0094159,0.0094159
61,11928.4,0.83626,1.61751,0.83056,0.92525,0.6002,0.61307,0.58909,0.51455,0.6092,0.59832,0.58152,0.51091,1.45034,1.87705,1.24348,1.01909,0.009406,0.009406,0.009406
62,12124.8,0.8298,1.61705,0.834,0.92116,0.61225,0.61786,0.59234,0.51232,0.58401,0.60101,0.57945,0.5102,1.4471,1.84498,1.23193,1.02132,0.0093961,0.0093961,0.0093961
63,12320.4,0.83012,1.5976,0.82707,0.92084,0.61517,0.59894,0.58969,0.50769,0.5849,0.5948,0.57736,0.50855,1.45598,1.8524,1.26959,1.01133,0.0093862,0.0093862,0.0093862
64,12515.8,0.85548,1.63015,0.85106,0.92179,0.60922,0.61038,0.59642,0.51122,0.57808,0.6109,0.58303,0.51133,1.40442,1.84677,1.21001,0.99975,0.0093763,0.0093763,0.0093763
